Address,Grocery,Schools,Coffee,Pharmacy,Stores
<redacted>,"OneLove Caribbean Groceries -- 1.3 km (16 mins)
FreshCo King & Wilson -- 1.2 km (16 mins)
","Durham Education Group -- 0.9 km (11 mins)
Durham Christian Academy -- 1.0 km (12 mins)
Vincent Massey PS -- 0.8 km (10 mins)
Eastdale CVI -- 0.9 km (11 mins)
","Tim Hortons -- 1.4 km (18 mins)
","Remedy'sRx - O.M.C. Pharmacy -- 1.1 km (14 mins)
Shoprite Pharmacy -- 1.2 km (15 mins)
King Street Pharmacy -- 1.2 km (16 mins)
I.D.A. - Eastview Pharmacy -- 1.4 km (17 mins)
","Dollarama -- 1.2 km (15 mins)
OneLove Caribbean Groceries -- 1.3 km (16 mins)
FreshCo King & Wilson -- 1.2 km (16 mins)
Plato's Closet - Oshawa, ON -- 1.4 km (19 mins)
Dollarama -- 1.3 km (17 mins)
"
<redacted>,"Metro -- 1.0 km (13 mins)
Sobeys Oshawa -- 1.4 km (19 mins)
","Beau Valley PS -- 1.1 km (13 mins)
Gordon B. Attersley Public School -- 1.2 km (14 mins)
","Starbucks -- 1.4 km (19 mins)
Coffee Culture Café & Eatery -- 1.7 km (20 mins)
","The Medicine Shoppe Pharmacy -- 1.3 km (16 mins)
shoppers drug mart -- 1.3 km (17 mins)
Shoppers Drug Mart -- 1.3 km (17 mins)
Sobeys Pharmacy Oshawa -- 1.4 km (18 mins)
Ritson Pharmacy -- 1.5 km (20 mins)
Shoppers Drug Mart -- 1.7 km (20 mins)
","Dollarama -- 0.9 km (11 mins)
Rogers -- 0.9 km (11 mins)
Value Village -- 0.9 km (11 mins)
The Wine Shop -- 1.0 km (13 mins)
ELDERBERRY CONVENIENCE -- 1.0 km (12 mins)
Beer Store -- 1.2 km (15 mins)
Canadian Tire -- 1.2 km (15 mins)
Oshawa Grand Convenience Store Inc -- 1.4 km (18 mins)
Sobeys Oshawa -- 1.4 km (19 mins)
"
<redacted>,"FreshCo King & Townline -- 1.1 km (13 mins)
Joe & Barb's No Frills -- 1.0 km (11 mins)
M&M Food Market -- 1.2 km (15 mins)
","Logibear Childcare -- 0.5 km (6 mins)
courtice secondary school -- 1.1 km (13 mins)
College Park Elementary School -- 1.1 km (14 mins)
Dr. Emily Stowe Public School -- 1.5 km (18 mins)
College Park Elementary School -- 1.4 km (17 mins)
Courtice North Public School -- 1.6 km (19 mins)
","Critical Hit Gaming Lounge -- 0.9 km (11 mins)
Greenwood Café & Roaster -- 0.9 km (11 mins)
Deadly Grounds Café and Curiosities -- 1.0 km (13 mins)
Tim Hortons -- 1.1 km (14 mins)
McDonald's -- 1.1 km (14 mins)
Golden Gate Eatery & Takeout -- 1.1 km (13 mins)
","Health Central Pharmacy -- 0.7 km (9 mins)
Shoppers Drug Mart -- 0.7 km (9 mins)
Courtice Townline Guardian Pharmacy -- 0.9 km (11 mins)
Walmart Pharmacy -- 1.1 km (13 mins)
APPLETREE PHARMACY -- 1.2 km (15 mins)
IDA Courtice Clinic Pharmacy -- 1.4 km (17 mins)
","Busy Bee Convenience -- 0.3 km (3 mins)
7508247 Canada Inc -- 0.3 km (3 mins)
Beauty Boutique by Shoppers Drug Mart -- 0.7 km (9 mins)
Rogers -- 0.8 km (10 mins)
Sherwin-Williams Paint Store -- 0.8 km (10 mins)
LCBO -- 0.8 km (10 mins)
Daisy Mart -- 0.9 km (11 mins)
Clarington Convenience, 1561 HWY 2, Courtice, -- 0.8 km (10 mins)
Smokey Land Variety -- 1.0 km (12 mins)
FreshCo King & Townline -- 1.1 km (13 mins)
Kingsway Hardware -- 1.1 km (13 mins)
Joe & Barb's No Frills -- 1.0 km (11 mins)
M&M Food Market -- 1.2 km (15 mins)
Walmart Supercentre -- 1.1 km (13 mins)
Mac's -- 1.2 km (16 mins)
The Wine Shop -- 1.1 km (14 mins)
New Rave Convenience -- 1.1 km (14 mins)
Dollarama -- 1.1 km (14 mins)
Plato's Closet - Oshawa, ON -- 1.3 km (15 mins)
Food Worths Variety & Ice Cream -- 1.6 km (19 mins)"
<redacted>,"Halal Meat -- 0.8 km (10 mins)
","3.2 star -- 0.6 km (7 mins)
Lincoln Alexander PS -- 0.9 km (11 mins)
Blaisdale Montessori - Village Campus - Ajax -- 0.6 km (8 mins)
Durham School Of Music -- 0.6 km (7 mins)
Delaney Public School -- 1.1 km (13 mins)
Eagle Ridge Public School -- 1.1 km (13 mins)
Saint Francis De Sales Catholic School -- 1.1 km (14 mins)
Lincoln Avenue PS -- 1.4 km (18 mins)
St Patrick Catholic Elementary School Ajax -- 1.3 km (17 mins)
","Cupcakes Canada -- 0.6 km (7 mins)
Tea Remix -- 0.6 km (7 mins)
Dimpflmeier's Cafe -- 1.0 km (13 mins)
","Pickering Village Pharmacy -- 0.6 km (7 mins)
I.D.A. - The Hope Pharmacy -- 1.0 km (13 mins)
Ajax Guardian Pharmacy/Ajax Walk In Clinic -- 1.0 km (13 mins)
","Couture Consignments -- 0.6 km (7 mins)
Circle K -- 1.0 km (12 mins)
Honest Crook Convenience Store -- 1.0 km (13 mins)
"
<redacted>,"Food Basics -- 1.0 km (12 mins)
Sobeys Ajax -- 1.2 km (14 mins)
","Westney Heights PS -- 0.3 km (4 mins)
Lester B. Pearson Public School -- 1.0 km (12 mins)
Saint Jude Catholic School -- 1.3 km (17 mins)
Applecroft Public School -- 1.4 km (17 mins)
Lincoln Alexander PS -- 1.5 km (19 mins)
","Starbucks -- 1.2 km (14 mins)
","Rexall -- 1.1 km (13 mins)
Shoppers Drug Mart -- 1.0 km (12 mins)
Shoppers Drug Mart -- 1.0 km (12 mins)
Health Square Drug Store -- 1.1 km (13 mins)
Sobeys Pharmacy Ajax -- 1.2 km (15 mins)
","Corner Store -- 0.2 km (3 mins)
The Corner Store -- 1.0 km (13 mins)
Westney At #2 Food Mart -- 1.0 km (13 mins)
Dollarama -- 1.1 km (14 mins)
BSW Beauty - Ajax -- 1.1 km (13 mins)
The Wine Shop -- 1.1 km (14 mins)
Sobeys Ajax -- 1.2 km (14 mins)
Best Way Convenience -- 1.4 km (18 mins)
A & N Convenience -- 1.4 km (18 mins)
"
<redacted>,"Food Basics -- 0.7 km (8 mins)
Longos Grocery, 1 Rossland Rd. E. Ajax -- 1.3 km (17 mins)
Al-Iman Grocers & Kitchen -- 1.3 km (17 mins)
Al - Amin Groceries -- 1.3 km (17 mins)
Longo's Ajax -- 1.5 km (20 mins)
","Dr.Roberta Bondar PS -- 0.3 km (4 mins)
St. Catherine of Siena Catholic School -- 0.5 km (6 mins)
Saint Jude Catholic School -- 0.7 km (9 mins)
Applecroft Public School -- 0.8 km (9 mins)
Lester B. Pearson Public School -- 1.4 km (17 mins)
Saint Teresa of Calcutta Catholic School -- 1.3 km (16 mins)
Terry Fox Public School -- 1.0 km (14 mins)
Westney Heights PS -- 1.5 km (18 mins)
Nottingham Public School -- 1.6 km (20 mins)
","Tim Hortons -- 1.4 km (19 mins)
","Rexall -- 0.9 km (11 mins)
I.D.A - Ajax Community Pharmacy -- 1.4 km (18 mins)
Ajax Pharmachoice -- 1.4 km (18 mins)
","The Corner Store -- 0.8 km (10 mins)
Dollarama -- 1.5 km (19 mins)
"
<redacted>,no results,"Little Blessings Nursery School -- 0.5 km (6 mins)
Sinclair Secondary School -- 0.9 km (11 mins)
Sinclair Secondary School -- 0.9 km (11 mins)
Sinclair Secondary school -- 1.0 km (12 mins)
","Starbucks -- 1.4 km (17 mins)
Second Cup -- 1.6 km (19 mins)
Panera Bread -- 1.6 km (20 mins)
Tim Hortons -- 1.6 km (20 mins)
","The Medicine Shoppe Pharmacy -- 1.4 km (17 mins)
Remedy'sRx - Dryden Medical Pharmacy -- 1.6 km (20 mins)
","Sport Chek -- 0.9 km (10 mins)
Staples -- 0.9 km (10 mins)
HomeSense -- 1.6 km (20 mins)
Party City -- 1.6 km (19 mins)
Kitchen Stuff Plus -- 1.5 km (19 mins)
Winners -- 1.6 km (19 mins)
Dollar Tree -- 1.6 km (19 mins)
OshKosh B'gosh -- 1.6 km (19 mins)
Circle K -- 1.6 km (20 mins)
"
<redacted>,no results,"Dr. Emily Stowe Public School -- 0.9 km (12 mins)
St. Mother Teresa C. E. S. -- 1.2 km (14 mins)
Dr G J MacGillivray Public School -- 1.4 km (17 mins)
","Critical Hit Gaming Lounge -- 0.6 km (8 mins)
Greenwood Café & Roaster -- 0.6 km (8 mins)
Deadly Grounds Café and Curiosities -- 1.4 km (18 mins)
Tim Hortons -- 1.5 km (19 mins)
","Health Central Pharmacy -- 1.1 km (14 mins)
Shoppers Drug Mart -- 1.2 km (15 mins)
Courtice Townline Guardian Pharmacy -- 1.6 km (20 mins)
","Clarington Convenience, 1561 HWY 2, Courtice, -- 0.5 km (6 mins)
7508247 Canada Inc -- 1.0 km (13 mins)
Busy Bee Convenience -- 1.0 km (13 mins)
LCBO -- 1.2 km (15 mins)
Beauty Boutique by Shoppers Drug Mart -- 1.2 km (15 mins)
Daisy Mart -- 1.3 km (16 mins)
Rogers -- 1.3 km (16 mins)
Smokey Land Variety -- 1.4 km (18 mins)
Food Worths Variety & Ice Cream -- 1.3 km (17 mins)
"
<redacted>,"Foodland - Whitby -- 0.5 km (7 mins)
","Pringle Creek PS -- 0.5 km (7 mins)
Glen Dhu Public School -- 1.5 km (19 mins)
Anderson Night School -- 1.2 km (15 mins)
Anderson CVI -- 1.2 km (15 mins)
St Theresa Catholic School -- 1.4 km (18 mins)
","Tim Hortons -- 1.5 km (19 mins)
","Pharmasave Pringle Creek -- 0.5 km (6 mins)
Whitby Community Pharmacy -- 1.5 km (19 mins)
","Anderson Jug City -- 0.4 km (6 mins)
Foodland - Whitby -- 0.5 km (7 mins)
Village Groceries -- 1.5 km (19 mins)
"
<redacted>,"Justin's No Frills -- 1.3 km (15 mins)
Paakiza Supermarket -- 1.5 km (18 mins)
S & P Supermarket -- 1.5 km (18 mins)
","Royal Canadian Montessori School -- 0.9 km (11 mins)
Colonel J.E. Farewell Public School -- 1.4 km (17 mins)
","Tim Hortons -- 1.4 km (16 mins)
","Shoppers Drug Mart -- 1.2 km (14 mins)
West Lynde Pharmacy -- 1.5 km (18 mins)
","Dampney Co -- 5 m (1 min)
Dollarama -- 1.4 km (16 mins)
Justin's No Frills -- 1.3 km (15 mins)
Canaan Food Fair -- 1.6 km (20 mins)
Ideal Linen and Gifts -- 1.5 km (18 mins)
"
